name,review_count,country_date,review_body
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on November 28, 2019","I film short instagram videos and longer YouTube videos. Before i got this lens i was using a 50mm 1.8 stm gor canon. Which was great but i needed alot of space to film which I don’t have so i have to do the filming in a friends house.  This lens got delivered from korea in 2 friggn days!! Super sharp, quick AF, not as heavy as exaggerated on YouTube reviews, everything is perfect ❤️❤️👏🏾👏🏾. Best lens for videographers!!"
Richard,5.0 out of 5 stars,"Reviewed in the United States on July 22, 2019",only reason i give it 4 stars is because my sony a6000 with an adapter over shoots the focus a lot and i have to sit and wait for it to adjust multiple times. other than that. one of the best lenses i’ll own. sigma is one of the best retailers for glass. image quality is sharp and crisp per usual from Sigma’s Art series.
J.J.R.,1.0 out of 5 stars,"Reviewed in the United States on May 8, 2015",I'm not sure if I got a bad copy or if I'm just having trouble with my LA-EA4 and LA-EA1 adapters compatibility with this lens.
David Alexander,5.0 out of 5 stars,"Reviewed in the United States on October 27, 2020","Excellent lens overall, I used it at the Grand Canyon for stunning photos.  Not great in low light situations.  Meh for portrait.  Good depth of field, nice and wide for landscapes.  I used it in 16:9 photos, and the daylight photos turned out really nicely."
Tony,5.0 out of 5 stars,"Reviewed in the United States on November 10, 2018","You won’t regret buying this. Great for on the go. I like the weight of it. Feels like quality in your hand bc it is. Image quality speaks for itself. Being apsc, the long end (35) feels like 50 on FF which is perfect and the short end (18) is great for getting that wider shot of you might need in most situations. Having f1.8 all the way through is fantastic."
TRJ,5.0 out of 5 stars,"Reviewed in the United States on March 3, 2019","The actual barrel that the mount base (stainless steel) mounts to is an engineering plastic. So even though it feels and looks all-metal, it's not. And an important piece is breakable plastic inside. The lens will separate from the mount if any hit is taken by the lens and that in-turn tears the flex cables, making a repair an expensive proposition. All in all though, it goes head to head with L-glass for sharpness, bokeh and light gathering. Wish it were a bit more of a range as 18-35 is pretty damn limiting at times."
videomaker,5.0 out of 5 stars,"Reviewed in the United States on November 3, 2021",Excelent product
Michelet Díez Posada,5.0 out of 5 stars,"Reviewed in the United States on December 17, 2019","I mainly bought this lens for video for my 80D, works perfectly, it is HEAVY know that, is not a ""walk around take pictures with"" lens."
Amazon Customer,4.0 out of 5 stars,"Reviewed in the United States on December 2, 2017","This was one of the first lenses I purchased and it has served me very well. It is extremely well built and has a very solid feel. It is a tad heavy but that is a sacrifice I'm willing to make for build quality. One thing I've found I really miss from this lens is image stabilization. The auto focus is also rather poor for video, though I mostly use manual for video anyways. You can hear the clicking in your recording and it spends much time searching. Image stabilization and video auto focus aside though, excellent lens."
Sam,4.0 out of 5 stars,"Reviewed in the United States on September 10, 2015","I didn't realize that DC for Sigma means the lens is only compatible on a crop sensor camera. :( ai was really excited to find a sigma art lens at these focal lengths, but alas, I guess I will have to wait for one that works good on a full frame."
Kenneth J Urbanek,5.0 out of 5 stars,"Reviewed in the United States on April 24, 2014","I do not know the answer to that.  This lens was selected for its DXO Mark ratings and specs for the intended application.  Again quality is there completely.  This is my 2nd lens along with the 50 - 150 f 2.8 to run on the DX7100 so I am spoiled with top choice things at this point.  As a nonprofessional I expect to learn and do a lot with this package this summer.  I have read the good write ups and great owner comments before selecting and I think those reports are spot on no issues.  5-14-14 after doing Mother's day at Cleveland Botanical Gardens and all the flowers and staging, got great results with the lens.  Was quick to focus as I was handheld walk about, many people so it was a quick shoot thing and got the shots."
Dom,4.0 out of 5 stars,"Reviewed in the United States on February 26, 2021",Is it me or is this lense extra noisy? 🤔 Wondering if mine is faulty.
Nicolas sellar,5.0 out of 5 stars,"Reviewed in the United States on June 3, 2020",I bought this lens for my Blackmagic and it's simply a great lens to get. The autofocus is very good and the image stabilization is incredible as well. The quality of the stills I take is amazing so that's why I had to give 5 star for portrait photography. A must buy item for any videographer!
Y. Lee,5.0 out of 5 stars,"Reviewed in the United States on September 27, 2015","The one I own is for Sony A-mount cameras. Early this year, I sold my Sony A57 and got the A5100--a E-mount camera. So I now use this lens with an adapter and need to shoot everything manually but still, it works great. I get great image quality consistently."
hector caroro,5.0 out of 5 stars,"Reviewed in the United States on November 16, 2015","Very sharp lens. Other photographers may have issue with the auto focus. It's true! At first it miss 70% of my shot. Please adjust the Lens Micro Adjustment on the body. Be mindful that this lens don't have vibration control so keep the shutter speed @1/200 or above on hand held or as steady as you can. I'm using a 70D body and most of the shot was on point after the lens micro adjustment on the body. I had no auto focus problem after the adjustment. Work like a charm! Yes the lens is very heavy but most lens at this level are. Just like the weight of canon L series. For the quality build and image sharpness, this lens makes up for it. Having 18-35mm wide is very useful. Specially shooting a big group of people."
Seren,5.0 out of 5 stars,"Reviewed in the United States on June 28, 2016","Man, I cannot praise this lense enough. It is just such a great zoom range for most things, and especially for video production. This thing is amazing on a steadicam/glidecam. The balance barely gets thrown off when zooming and is easy to correct. The ability to open to 1.8 is such an amazing help. While filming a wedding I was so glad to have this fast of a lens and for such a great price."
PhotoBubba,5.0 out of 5 stars,"Reviewed in the United States on April 20, 2017","I love this lens. I purchased it to use on my Sigma SD Quattro H camera, and it has wonderful image quality, which is important since the the SD H had 50 MP effective resolution. It also covers the H sensor without trouble, even though it is DC lens. Have not noticed any vignetting at any aperture. This is a heavy lens, so realize that making a zoom that has a 1.8 constant aperture is no ""small"" feat. I worried about whether it would be worth the cost, but it is worth every penny I paid. Excellent build quality, feel absolutely solid, and operate very smoothly. Yo won't be disappointed."
ashley rippeon,5.0 out of 5 stars,"Reviewed in the United States on August 19, 2020",Pretty heavy. Takes great pics.  Works best at at a smaller fstop like 2.2 or “higher”. Does a great job at lifestyle photography as well as portrait.  I don’t seem to get too much distortion up close.  My number one lens at the moment.
Gabriel Felipe Ayala Barajas,3.0 out of 5 stars,"Reviewed in the United States on October 24, 2021",Al momento que me llegó la caja venía golpeada
MJsLiberianGrl,5.0 out of 5 stars,"Reviewed in the United States on June 29, 2021",Have taken my YouTube videos to the next level - love this lens so much. Totally worth the investment
Mhoulder,5.0 out of 5 stars,"Reviewed in the United States on September 16, 2020",You don't need to buy primes.
Tawjr,5.0 out of 5 stars,"Reviewed in the United States on July 8, 2021",Great lens I use it for pretty much everything including photos of the Milky Way.
waterdog,5.0 out of 5 stars,"Reviewed in the United States on July 14, 2015","Great lens, will not repeat everything that's been written about it.  Much less focusing issues with this lens with my Cannon 70D than my Cannon lens, especially the 50mm.  Really surprising and odd. Did have condensation develop INSIDE lens itself when exposed to humid air from cool building.  Condensation is a given in this situation but never had it form inside the lens, after 15-20 minutes was still inside lens. After 1/2 hr indoors it cleared.  Concerned that moisture could get trapped inside and need servicing.  Will make sure to warm this lens in similar conditions."
Gypsy man,5.0 out of 5 stars,"Reviewed in the United States on August 26, 2021",Very versatile lens for crop sensors camera
Luis L.,5.0 out of 5 stars,"Reviewed in the United States on May 15, 2019","One of the greatests lenses you can get, it is heavy to carry around, but the results are outstanding. Remember as with any new lens you get, there's a learning curve, so don't rush it in, this one has so many possibilities, and did I mention that it is fast? Having been handling lenses of all sorts for the past 3+ decades, I can assure that this one brings a lot excitement, and incredible pictures! Highly recommend for APS-C sensor formats."
Piueti Maka,5.0 out of 5 stars,"Reviewed in the United States on September 6, 2020","It is amazing!!!! I’m no professional and I just use it for personal use, but it works soooo easily! I use both the manual and auto focus and I just love it! Focus is better on manual focus but still, so great!"
Lyndsey K. Hinsley,5.0 out of 5 stars,"Reviewed in the United States on September 20, 2019","This lens was released in 2013 and it wasn't until 2016 that I finally purchased it. It's 2019 and this lens still holds in own as the fastest and sharpest zoom lens ever made. The focus and zoom rings are smooth as butter with a comforting resistance for video/cinema applications. Wide open, at f/1.8, there is almost no chromatic abberation or vignetting. It's simply my favorite lens of all time."
BTweeze,5.0 out of 5 stars,"Reviewed in the United States on October 9, 2018","I've been wanting this lens for a long time and was not disappointed when received. I can't believe how sharp the pictures are and the nice bokah it provides. Do note that you want to do a focusing test and adjustment because I heard that these lens may need them, so if you get it and it is front/rear focusing do the adjustments or send it in with your camera body to get adjusted. Once it is adjusted for your camera you will be amazed how the pictures look."
William Elliott,5.0 out of 5 stars,"Reviewed in the United States on August 18, 2018","I own two of these actually.  One Nikon mount (review here) and another Canon mount (bought elsewhere).  I attach these to my Lumix GH4 and GH5 cameras using Metabones Speed Boosters for video capture.  They are nothing less than spectacular.  I shoot in a lot of small doctors offices and cramped areas.  I also use these for shooting interviews and find they have little to no distortion.  They are a little on the big and heavy side, but the quality that they produce is stunning."
Michael Mello,5.0 out of 5 stars,"Reviewed in the United States on January 21, 2020","Omg best lens i've used to date! Only negative is the weight but the auto-focus is great for video, the low F-stop creates beautiful bocca and has improved my low-light photography tremendously! Another key highlight is the fact that zoom happens within the lens so there's no external size changes when zooming in on a subject."
Ryan D,5.0 out of 5 stars,"Reviewed in the United States on October 19, 2019",I don't know that there is a better bang for your buck as far as taking portraits using a crop sensor camera. The sharpness and the photos is unreal and the lens feels well-made. Keep in mind if you put this on a full-frame body you're going to get a black ring around the whole photo it's really only going to work on a crop sensor camera.
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on January 27, 2016",Killer lens in ever way.  I have absolutely zero complaints.
Sam,5.0 out of 5 stars,"Reviewed in the United States on August 11, 2018","All photos shot with the Sony A350 DSLR. I've had this lens for a week now and I absolutely love it!!!the focus is super sharp is manual mode.the lens feels rock solid little on the heavy side but that's OK with me.the auto focus is quiet and smooth which I'm very impressed with. I, maybe like many other people may have watched multiple videos regarding this lens and was unsure... Trust me,bite the bullet and go for it. These photos were shot without the use of a tripod."
McMeekin,2.0 out of 5 stars,"Reviewed in the United States on June 2, 2015",USED ON A CANON t2i CROP SENSOR CAMERA BODY!
Khalid Diba,4.0 out of 5 stars,"Reviewed in the United States on February 14, 2021",Auto focus is unreliable on the canon 60d
AK,5.0 out of 5 stars,"Reviewed in the United States on August 16, 2013",This is one very well-made lens. A robust build and weight too match. You can feel the quality of this lens when you are using it or just holding it in your hand.
khary walker,1.0 out of 5 stars,"Reviewed in the United States on January 11, 2018","I Purchased this lense a while back and was very pleased to see that it had arrive looking pristine,basically new although it was listed as used. after testing it on my canon 70d i noticed right away that it wasn't as sharp as all the reviews touted it to be, maybe a bit above kit lense quality  , but im not one to complain or rock the boat so i decided to try and make it work, (ever the optimist) over the months there was noticeable degradation to the picture quality , bearing in mind that i didn't start out at the best quality to begin with, i still didn't complain or even thought about coming on here to right a bad review. but now at present this lense (sigma 18-35mm) has stopped all together. it wont focus not even on Manual focus so im basically holding a paper weight now. Im VERY disappointed right now if i had dropped or bumped this lense in any way i would have just own up and called it a lost but after shelling out $650 on a lense naturally im gonna baby it and that i did and still im left holding the short end of the stick."
David F.,5.0 out of 5 stars,"Reviewed in the United States on March 10, 2016","There are a boatload of reviews about this lens on youTube so, if you want something detailed, go there. This lens is AWESOME! It takes zero effort to shoot good photos with this thing, even on a D3200!!!!! I can't wait until the 50mm-100mm is released so I can buy that and complete my lens collection!"
Barbara D.,5.0 out of 5 stars,"Reviewed in the United States on January 20, 2016","Love this lens.  Just love it.  The extra opening (f 1.8) for low light work are just enough so I can now capture a concert, or people at a dance, without needing a flash or having blur.  Clear lens too, and nice bokeh (background blur) when shooting something like a flower.  Only drawback is it sometimes takes too long to ""hunt"" on autofocus -- not always -- otherwise, it's wonderful, and it's a gift to have a lens that stops down to 1.8 that's a zoom, even though it only goes to 35mm.  With my APS-C crop-factor the 35 is the equivalent of about 52 mm.  I'm so pleased."
sasha,4.0 out of 5 stars,"Reviewed in the United States on January 8, 2017","the lens itself is outstanding. however, i give it four stars because it has some focusing issues with the cannon 70D. it took a lot of tweaking and it still doesn't quite get it right unless i'm shooting in live mode, in which case it works amazing, but slower. if you're not trying to shoot in high speed situations it does great. i love the shots i can get in low light but most often shoot in manual focus to make sure i get it right."
Neal H,5.0 out of 5 stars,"Reviewed in the United States on April 18, 2014","I own a 70D and purchased this to essentially replace the 18-35mm IS II. Sigma's lens of course murders the kit lens. It does indeed feel like a handful of wide primes, in optical quality and over all weight. As others have commented, it's a heavy bastard, a drastic departure from the kit lens. But I have grown accustomed to the heft. Even on hikes and lugging it through the streets I am not beat by it's weight, it's certainly noticeable though."
Rafi,5.0 out of 5 stars,"Reviewed in the United States on September 10, 2021",Amazing
Dennis S.,5.0 out of 5 stars,"Reviewed in the United States on June 22, 2020","Every time I put this on my camera I get amazing pictures. Super sharp lens at all focal lengths and apertures. I am very impressed. Superb low light capabilities, an excellent lens for shooting sunrise/sunset/night sky. Sigma has a real winner here."
D. Liu,5.0 out of 5 stars,"Reviewed in the United States on October 7, 2016",I love this lens. I use it for all my vacation travels and don't even use my walk around lens anymore. It's super clear and the contrast is good. It's so fast that it's great for low light.
Hardmf247,3.0 out of 5 stars,"Reviewed in the United States on January 24, 2015",Not real happy with the lens. Was just okay out of the box but not better than my kit lens. Actually my kit lens is sharper. Don't know if the lens is defective or if it needs calibrating. Maybe the the lens would be great if I wanted to spend a half-day calibrating it with the Sigma dock but that's not going to happen. The lens should be dead-nuts accurate/sharp out of the box.  I simply don't have the luxury of spending that kind of time calibrating something that should have been done by the manufacturer. Maybe I'll return the lens for another...I'll update my review if I get another.
Eleftherios Kritikakis,3.0 out of 5 stars,"Reviewed in the United States on November 2, 2016","UPDATE: Though I returned this lens because pics were way too flat even for a zoom (depth rendition), I rented a copy to run more extensive tests. It's a little more flat than other zooms at this range, though it's probably the sharpest one in the center of the image, but so marginally you can't really spot much difference."
Eduardo H.,5.0 out of 5 stars,"Reviewed in the United States on April 27, 2021",Beautiful image. Paired up with a speed buster for my BMPCC4K and the image is super!!!
Luis Rios,4.0 out of 5 stars,"Reviewed in the United States on November 20, 2013","WARNING!  THIS DOES NOT WORK ON FX FULL FRAME NIKONS after waiting for months, I finally got it from back order, and enjoyed a nice round porthole view through it.  At 35mm it has very serious vignetting, and as you zoom it increases exponentially.  It is simply not useable.  Period.  Save yourself the hassle.  Going back.  They should have mentioned this somewhere on the description."
Kara Heinrich,3.0 out of 5 stars,"Reviewed in the United States on July 12, 2018","I was so excited when I saw they added Sony to the compatibility lineup for this lens. Did 3-4 days of research on this lens before biting the bullet and purchasing it. I did not find a clear answer as to whether or not it was for e-mount or a-mount, but after reading multiple articles and watching reviews on YouTubers being excited for the e-mount launch I decided to purchase. When I received the lens it was heavy and beautiful, I immediately went to try on the lens only to discover that it was too big for for the emount. I called sigma and they let me know that anything that just says Sony is an a-mount lens. I did not want to purchase an a-mount converter on top of the lens, so I ended up returning. Disappointed because I was so excited to try out this lens."
Alex Addonizio,5.0 out of 5 stars,"Reviewed in the United States on October 22, 2020",A fantastic lens for getting that creamy bokeh when shooting at F1.8. This lens will make any crop sensor camera look like a professional camera. Definitely worth the buy.
Andrew,5.0 out of 5 stars,"Reviewed in the United States on July 5, 2019",Great lens. Only issue I have is the focus on it. Usually when I'm zoomed alllll the way out it may not focus the best. I took some pictures and couldn't tell on my camera that I was out of focus even though my focus point was where it should've been. This can be a big deal if you're getting paid for your photography or videography.
ThatCarGuyEddie,5.0 out of 5 stars,"Reviewed in the United States on September 7, 2017","I purchased this lens used from 6ave for $629 shipped. It was said to be in ""like new"" condition, and it was. I was very pleased with the condition it came in. Now for the photography side of this review. The low light capabilities of this lens is amazing. Additionally this lens is great for almost anything else, unless you need to shoot a far distance shot (which I never do). I'll include some of my most recent shots with this lens. Finally I would definitely recommend this to all my friends."
Mr.Four,5.0 out of 5 stars,"Reviewed in the United States on February 5, 2014","This lens is incredible. How many good things can I say about it? The close focus (especially zoomed to 35mm), the unique look of 18mm at f/1.8, the wonderfully solid build and well dampened zoom and focus rings, incredible sharpness, beautiful out of focus areas (bokeh)... I can keep going!"
Jaime E. Ortiz,5.0 out of 5 stars,"Reviewed in the United States on February 25, 2020","Initially, I tested this lens with my Canon EOS SL2 and worked great! I still need testing it with other cameras, like the Canon M50 and the Sony A7III with Sigma MC-11 adapter, so I will update, but I love it! Very nice pictures out of it!"
c3h8,5.0 out of 5 stars,"Reviewed in the United States on December 4, 2020","Very nice images along the entire range. F/1.8 is very shallow, I typically stop to F/2.8, but no issues anywhere along the spectrum."
Ray Davis,4.0 out of 5 stars,"Reviewed in the United States on June 12, 2020",I used this with Nikon D500. Great for still shots but struggles with auto focus for video
Edward Scott,5.0 out of 5 stars,"Reviewed in the United States on February 16, 2021",I purchased this lens for use with my canon 90d and it works flawlessly and produces beautiful video.
Chris Majestic,5.0 out of 5 stars,"Reviewed in the United States on January 27, 2016",The media could not be loaded.
Vladyslav,5.0 out of 5 stars,"Reviewed in the United States on August 16, 2021",Video
Daniel Joseph Design,2.0 out of 5 stars,"Reviewed in the United States on September 15, 2015",Let me preface this review by saying I paired this lens with a brand new Canon 70D. So I know the issues are with the lens and not my camera.
Elliott,5.0 out of 5 stars,"Reviewed in the United States on April 15, 2021","This lens is a beast. Since I purchased it, it hasn’t come off my camera."
Dan M,5.0 out of 5 stars,"Reviewed in the United States on February 15, 2014","I love this lens. Love it, love it, love it."
Candace J.,5.0 out of 5 stars,"Reviewed in the United States on April 23, 2021",The lens arrived in a safe package and in mint condition. Worth every penny.
Nate in Florida,5.0 out of 5 stars,"Reviewed in the United States on August 17, 2017","love this lens, absolutely love it. I have been wanting to get away from the standard low end kit lenses ever since I started photography about 15 years ago, now all I want to do is throw those old lenses away after getting my hands on this. The focus is lightning fast, the auto focus when shooting video is flawless and nobody is going to say anything bad about the f/1.8 at EVERY focal length. I'm taking pictures now that would have been impossible for me before."
Ajlaan,5.0 out of 5 stars,"Reviewed in the United States on June 15, 2021",Ready for the First Shoot of the Lens
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on March 2, 2020","This is hands down the sharpest and best lens under $1000, it’s better than most primes,  both for video and photo."
Dominick,5.0 out of 5 stars,"Reviewed in the United States on June 5, 2020","This lens is the ultimate for low light shooting and bokeh. I use it with my Nikon D5600 and while it’s a great lens, it does struggle a bit with auto focus."
Duy Tran,5.0 out of 5 stars,"Reviewed in the United States on August 16, 2019","Purchased this to fit on my Canon EOS m50 with a Canon EF - EF-M lens adapter. Produces pretty sharp images around f/2, unfortunately the autofocusing on this lens makes a little noise and the in body microphone in the Canon EOS m50 would pick up the sound. But other than that, perfect portrait lens."
wile-e-coyote,5.0 out of 5 stars,"Reviewed in the United States on September 2, 2016","Buying used is a great way to save some money and in this case I didn't sacrifice a shred of quality. This is the lens that is on my camera the most. It's super sharp and I love the fact that I get a very shallow depth of field (f1.8) in a zoom.  This is much better than the nifty 50 for apsc cameras. The only downside,  if you consider it one is the lens has some heft to it, but it's also a mark of the quality that went into it."
Steve B,5.0 out of 5 stars,"Reviewed in the United States on October 21, 2014",I cannot say enough good about this lens. Check out the glowing online reviews and you'll get an idea of how well Sigma hit the mark with this lens. The focus is fast and accurate. It does not come with vibration reduction but a lens this wide doesn't need it.
JRESH,5.0 out of 5 stars,"Reviewed in the United States on April 12, 2014",Sharper than any Nikon lens I've used.
Rainking.,3.0 out of 5 stars,"Reviewed in the United States on April 4, 2021",Lovely sigma lens but！ Amazon should have provide an amazon box for the item！ It's a camera len！ Just came with the item box it self？ It's very dangerous！ Luckily nothing destroy.
Nina shrewsbury,5.0 out of 5 stars,"Reviewed in the United States on June 20, 2020",This lens is incredibly sharp! I’m absolutely in love! I haven’t had a chance to take it out much with being stuck inside but I’m definitely excited to.
A. Woodard,5.0 out of 5 stars,"Reviewed in the United States on August 20, 2013","I was lucky enough to purchase this lens during the first batch of shipments. I immediately put it to use for both still and video use with Canon EOS cameras. I honestly could not be more impressed with a lens. It does everything well, including fast accurate focusing, smooth manual focus and zoom.  The build quality is outstanding. Even higher than most L series that I own, and very close to the Zeiss ZE line. It has a pleasing bokeh, and minimal vignetting at all focal lengths. During my last four wedding shoots, it is the only lens I have used during the entire reception.  Please Note: this lens is designed for APS-C, or cropped sensor camera bodies."
Rafick Bottse,4.0 out of 5 stars,"Reviewed in the United States on December 5, 2019",I did not received my 3 year warranty 😒 as written that will be included  but other than that everything is great
apaige,5.0 out of 5 stars,"Reviewed in the United States on February 6, 2020","this lens is big and heavy, but even on the edges of the frame I can clearly see drops of water from my friends running on the breach. This is by far my favorite lens for my 5600."
A. Tolman,5.0 out of 5 stars,"Reviewed in the United States on December 9, 2018","This is a large, serious piece of glass.  It takes sharp, colorful pictures and, in all the venues I've used it, focuses briskly and reliably.  There are times when I wish for a bit more zoom range, but the speed of the lens and the quality of the pictures means that they're croppable without loss of quality.  Works very well on my D7100."
Cordele Rocks,5.0 out of 5 stars,"Reviewed in the United States on July 9, 2020","Just got my lands today and I must say this feels incredible, The pictures I’ve taken, and the videos I’ve recorded have been incredible thus far"
John Lehmann,5.0 out of 5 stars,"Reviewed in the United States on May 16, 2019","I was looking at buying several prime lenses and started reviewing this as an option. I am super happy I did. The lens is super fast, has better color capture and a great improvement over the kit lens. The only thing is that it is heavy. But that being said you can definitely tell it is well made."
Edgar Campos,4.0 out of 5 stars,"Reviewed in the United States on July 6, 2019","Not the best for portrait photography, but it's solid for cameras that arent full frame! The autofocus is great! Video wise this is the lens to go. Photos, it could be better."
Elemino,5.0 out of 5 stars,"Reviewed in the United States on May 21, 2016","The YouTube lens, or so it's called. This was exactly the reason I bought it, and it does a great job fulfilling my many needs. For filming and studio work it's an amazing lens. It's also great for photography, but for my needs it's on the heavy side and I always think twice before deciding to tote it somewhere. Still for it's intended purpose, I'd rather have the weight and build quality than the alternative. This is more or less a prime lens with some zoom, and the results are generally amazing."
nathan,5.0 out of 5 stars,"Reviewed in the United States on April 29, 2019","This is already my second purchase of this lens my first one fell off the roof of a building while at a photoshoot, this lens for the money feels like a canon L series lens with how sharp it is and that great fixed aperture of f/1.8 really shines at night. Very good lens for video as well"
Dr. DieuDonné,5.0 out of 5 stars,"Reviewed in the United States on July 20, 2020",For the price is unreal! That’s all I have to say! Oh! And FRO KNOWS PHOTO was right! Best lens for Vloging!
Danny Le,5.0 out of 5 stars,"Reviewed in the United States on June 25, 2021",Great
Raymond Young,5.0 out of 5 stars,"Reviewed in the United States on August 19, 2013","Sigma built this lens like a tank. I was happy how smooth the zoom was. I have other Sigma/Tamron/Tokina lenses where  the zoom sounds so mechanical. Every one of course would have wanted this at 18 to 55, but that's what you get for being the first zoom 1.8 out there. The pictures come out brighter in the dark, compared to the actual scene. But I noticed 1/40 1.8 was a minimum shutter speed I needed for my Canon t4i to focus correctly, otherwise at a slower shutter speed it would not focus right in low light at ISO 1600. Shooting at 1/3 stop over, my girlfriend's pictures turned out bright and complementary, smoothing out her complexion."
Luis Medina,5.0 out of 5 stars,"Reviewed in the United States on March 31, 2021",Package Came Early And Product Is Flawless
Kal,5.0 out of 5 stars,"Reviewed in the United States on August 19, 2016","Amazing lens. Haven't taken it off since I bought it! I do a lot of portrait work, and I find that this lens doesn't have that much distortion compared to the kit lens that came iwth my camera. I bought it so I can photograph events more easily, and the constant 1.8 aperture is perfect for that. (YES! It is a constant aperture. It can shoot at 18 f1.8 and 35 f1.8)"
tman5890,5.0 out of 5 stars,"Reviewed in the United States on May 26, 2014","This is the best built, best performing, and best looking lens I've ever owned. I saved up months to purchase this item and I'm so glad that I did. The pictures are amazing and the aperture is fantastic for bokeh. The only downsides are the zoom, if it had a larger zoom I'd say this would be the only lens I needed. I have tried it in low lighting, but have not tried it out for stargazing shots. I plan on taking more pictures with this lens soon and I will update my review with what I find. So far I would say this lens is a must buy!"
christina schran,5.0 out of 5 stars,"Reviewed in the United States on March 31, 2021",This is an awesome lens
bb58,5.0 out of 5 stars,"Reviewed in the United States on May 18, 2015","Pros: Excellent bokeh, very fast auto focus though I use the manual focus most of the time. f/1.8 picks up great light at night and is very crisp when stepped down to 2.8 and on. Metal body makes it very solid construction."
Eric,5.0 out of 5 stars,"Reviewed in the United States on April 30, 2015","Using this lens for indoor, street, night portrait and day portrait photography is fantastic. You can get a pretty wide panorama at 28mm equiv. if you need it, and 50mm equiv. with incredible brightness and bokeh for portraits. The AF is lightning fast in all but the darkest scenarios and it's nearly silent. The lens is a bit heavy but clearly well built and easy to use, with the focus rings gliding effortlessly. Have used for personal nighttime shoots and professional nighttime and indoor shoots, and the quality is incredible even paired with a simple Canon T3i."
J Fry,3.0 out of 5 stars,"Reviewed in the United States on February 14, 2021",Product was not as described. It was fair quality and listed as like new. Very good quick shipping tho. But not happy with fraudulent description.
stephen long,5.0 out of 5 stars,"Reviewed in the United States on April 15, 2021",Met my expectations
Kelly Leverett,5.0 out of 5 stars,"Reviewed in the United States on June 4, 2020","Probably my most favorite lens in the bag right now,  we use it for Video and Photography and absolutely love it!!!!!"
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on June 21, 2016","The constant aperture and the lens' clarity are phenomenal. The only two drawbacks are the focal length and lack of image stabilization, but the lack of these features is well worth the price point — especially if you do a lot of model or concert photography and have steady hands. At f/1.8, image stabilization isn't a problem because it brings in a lot of light; either way, find a way to keep your shutter speed above 1/200 and stability shouldn't be a problem."
Hemifam,5.0 out of 5 stars,"Reviewed in the United States on March 4, 2019","This lens is absolutely amazing and guaranteed to make your photos and videos crispy. It has an extremely fast and quiet auto focus, it also fits perfectly in my camera bag. I highly recommend this lens to anyone that shoots photography or films videos for YouTube. You surely won’t regret purchasing this lens."
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on November 28, 2020",One of the most solid lenses available. Love everything about it
Doscho,5.0 out of 5 stars,"Reviewed in the United States on March 18, 2014","If you are considering this lens, stop. Buy it. It is in high demand because it is the best value glass for a crop lens in these focal lengths. I mourn every time I take this lens off to shoot wildlife with my 75-300 f4-5.6."
Louis,4.0 out of 5 stars,"Reviewed in the United States on June 11, 2015","Very, very heavy. I wanted to love this lens, but I need to travel a lot and its too heavy and big! Its so well made. The number of reviews that found focusing problems with Pentax was also a key concern. Its an amazing lens if weight is not an issue. The focus issues seem to be software related so may be resolved in a future update."
Chris J.,5.0 out of 5 stars,"Reviewed in the United States on October 6, 2020",Updated the quality considerably for my youtube channel.  Highly highly highly recommend.
Bill,5.0 out of 5 stars,"Reviewed in the United States on May 27, 2019",Very sharp across the frame even at f1.8. f4 is sharp corner to corner. Only downside is the seller I received this from sent an international version with NO WARRANTY. Be aware If you see them going for around $639 you may receive the same.
spl42,5.0 out of 5 stars,"Reviewed in the United States on March 12, 2017","So far this lens has been everything I've been dreaming about for past two years. Image is Sharp, the build quality is top notch it's really solid I'd say about a pound and half of weight. Just well made, great image. I use this strictly for video. If you're looking to take your filming to next level and maybe like me you can't afford a $2,000-$3,000 camera this lens will help."
Joelrunner,5.0 out of 5 stars,"Reviewed in the United States on December 9, 2016","I had a 50mm prime f1.4 lens, and a 17-55mm f2.8 lens stolen out of my car. I loved (and needed) them both, and was not looking forward to the cost of replacing them...  I was hesitant that this lens would replace them both, but I actually like it BETTER due to the flexibility it has."
Thomas Kovacik,5.0 out of 5 stars,"Reviewed in the United States on December 29, 2019","I use this lens on my black magic pocket 6k and its INCREDIBLE. This lens is so sharp, even wide open. Best lens for your S35 cam."
Gyle Santillana,5.0 out of 5 stars,"Reviewed in the United States on September 27, 2018","If you like taking pictures whether it's for professional use or as a hobby buy this lens. Yes it's heavy, yes it's a bit pricey but this is very much worth the money if you want an all in one lens. DO NOT BUY A KIT LENS, BUY THIS LENS"
Steve B.,5.0 out of 5 stars,"Reviewed in the United States on August 30, 2019","Using this on a Blackmagic Pocket Cinema Camera 4K. Easily my most-used lens. No image stabilization sucks, but to be fair the BMPCC 4K should have that internally. Can't go wrong with this one."
Wayne B.,4.0 out of 5 stars,"Reviewed in the United States on November 4, 2015","Nice lens, though quite heavy, but that is not surprising for a f1.8 zoom lens.  Like some others have noticed it seems to have trouble focusing accurately when not in live view i.e. problems with phase detection auto focus, but works better with contrast detection auto focus. I have been using it with a Pentax K-3ii."
